word|meaning|translation
चूर-चूर||smashed
रस्सी||rope
खिला-पिलाकर||feed
तालाब||lake
चित्रसेन||Chitrasen
बस्तियाँ||Colony
अक्षयपात्र||eternal
अनुचरों||following
बिगड़े||spolit
कृष्णा||Krishna
पात्र||dish
गणना||count
परमात्मा||God of gods
बस्तियों||colonies
चौपायों||fours
विजय-घोष||declared winner
साग||green
गंधर्वों||demigod
उछलने-कूदने||skip-jump
हिलोर||waves
मादक||Adorable
आजानुलंबित||to the knees
हिसाब||accounts
हरजा||loss
छज्जों||balcony
उद्यानों||gardens
मिठाइयाँ||sweets
अंतर्व्यापी||spread out
भीतर-बाहर||inside-out
स्वरों||voices
महीने||months
दुबला-पतला||skinny
खाँसी||cough
इठलाते||do not
एहसान||favour
स्नेहाभिषिक्त||Affectionate
कंठ||throat
उस्ताद||boss
दुकानदार||shopkeeper
रंग-बिरंगी||colourful
दाम||cost
झाँकने||look
धोती||dhoti
विचित्र||strange
कुरुजांगल||Kurujangal
अस्थिर||doesn't stop
खड़े-खडे़||standing
पूछोए||ask
कैछा||chase
निरखती||looking
ग्राहकों||customers
सिवा||except
सांसारिक||worldly
सस्ते||economical
सौदा||deal
समाचार-पत्र||news paper
प्रतिष्ठित||reputed
बहलानेवाला||happy maker
मिठाईवाले||sweet seller
नन्हीं-नन्हीं||small
उछल-उछलकर||jumping
हर्षए||happiness
नगरभर||across city
युवतियाँ||young women
पढ़||read
व्यवसाय||business
लहराता||wavy
सुखा||dry
मृदुल||sweet
दौड़ते-हाँफते||running-panting
सोथनी||pyjama
लूँगी||loongi
चपटी||flat
नारंगी||orange
कथन||statement
अप्रतिभ||sad
विधाता||God
मिठाईवाला||sweet-seller
आदत||habit
चूसते||suck
बोझा||burden
तरकीब||trick
बीस||20
चुन्नू||Chunnu
चुन्नू-मुन्नू||Chunnu-Munnu
केश-राशि||hair
गान||song
संतोष||Patience
रंगीन||colourful
स्मृति||remember
पूछते-इछका||asking-around
अतिशय||very
ग्राहक||customer
विजयबहादुर||Vijay Bahadur
गाड़ी-घोडे़||horse-cart
ढंग||behaviour
वृद्धा||old woman
नौकर-चाकर||servants
दस्तूर||customs
फेरीवाला||noise-making seller
पोपले||toothless
मास||meat
घोला||mix
बीकानेरी||Bikaneri
सुख-संतोष||happy-patient
रोहिणी||Rohini
दुअन्नी||2 paise
दोहराने||repeat
हर्ष-गद्गद||happy
आकार||shape
लेंदे||take
आड़||cover
संशय||doubt
मोलभाव||cost
निवासी||people
पचीस||25
जायकेदार||tasty
स्नेहसिक्त||full of love
हानि||loss
गलीभर||in gully
फूटा||broken
बूढ़ी||old
ढीली||loose
टिकती||stay
मुल्ली||Mulli
घरभर||at home
स्नान||bathe
बी||also
खिलौनेवाला||toy-seller
मुन्नू||Munnu
व्यवसायों||business
भैये||brother
जनमे||born
सजीव||living
बतलाया||told
खट्टी||sour
डूबकर||drowned
पैछे||paise
चुन्नू-मून्नू||Chunnu-Munnu
सरदी||Winters
ठहराओ||wait
तीस-बत्तीस||30-32
अधूरे||incomplete
लटक||hang
रुको||stop
इछका||this
रूपों||forms
घुलतीं||wash
बाँधता||tie
अम||we
पुडि़याँ||packets
सुननेवाले||speaker
औल||and
लाद||pile
झलक-सी||glimse
अठखेलियों||grace
विस्मयादि||surprise
खानेभर||food
तर||wet
साफा||turban
आँचल||sari
गंभीरता||serious
पहलदार||Henchman
भावों||thoughts
वाक्य||sentence
छुंदल||beautiful
खैर||well
गंधर्वराज||Gandharvaraj
बंधन||bind
मुसीबतों||troubles
पत्ती||leaves
कुटुंबी||family
समुदाय||Community
वैष्णव||Vaishnav
डटा||hold
महारथियों||Magicians
संग्राम||war
धोया||wash
रसोईघर||kitchen
बंधनमुक्त||free
तकलीफ||trouble
चापलूसी||flatter
खिला||feed
नजदीक||close
कोस||curse
तंबू||temp
समाते||fill
द्वैतवन||Dwaitawan
विशेषता||Specialty
अनुगृहीत||angrily
अस्त्र||weapon
बरतन||utensil
मृत-से||free
बगुले||bird
विषैले||poison
पौधे||plants
सुस्ताने||Comfortably
तरकश||quiver
निर्धन||poor
दुःसाहस||sadness
अंजुलि||palm
चित्त||mind
यक्ष||demigod
करतूत||handcuffs
दिखलाई||saw
चेतावनी||warning
सोया||sleep
गँवाकर||lose
अधीश||
दान||charity
सोच-विचार||thinking
प्राणियों||
धनी||rich
बरतनों||utensils
अहंभाव||
जीव||
तुच्छ||
रहित||
आलिगन||
बलवाले||
सुगमता||
सच्चरित्रता||
यक्षराज||Yakshaj
मायाजाल-सा||
शील||
शास्त्र||
पक्षपात||
दिया-महाराज||
रफ़ककर||
दशार्ण||
तेरहवाँ||
चलनेवाला||
सद्गुणों||
--||
-||
इंद्रदेव||Indradev
उ||Answer
विदेश||foreign
जानेवाले||know
मत्स्याधिपति||fisherman
सर्वप्रिय||popular
स्थित||place
बाल्हिक||childish
संगति||with
प्र||Question
वैदेह||Vayday
दिव्यास्त्र||knowledge
झेल||tolerate
मरणासन्न||dying
अध्ययन||study
मत्स्य||fish
अंतर्धान||Interruption
प्राणी||creature
गुना||times
धनुष-बाण||Bow-arrow
इलाज||cure
गर्जना||roar
बिगडे़गा||spoil
जंतुओं||living
सिखलाने||teach
युद्धक्षेत्र||battle-field
खासकर||especially
हौसला||courage
गाय-बैलों||cattle
खयाल||thoughts
मुखिया||village head
नगरवालों||town-people
दास-दासियों||servants
सहेलियों||girl-friends
कब्जे||prisoner
भुगतना||pay-for
दक्षिणी||south
झुंड-के-झुंड||crowds
सजाकर||decorate
पहलवानों||wrestlers
गाना-बजाना||sing-song
तबाही||devastation
सैरंध्री||Sainandhri
सुशर्मा||Sureshma
धाक||awe
आज्ञाकारिणी||Obedient
ग्रंथिक||Granthik
उपकार||favour
बीमारियों||illness
कीचक||Keechak
साधने||tools
गांडीव||Gandiv
चाकरी||slavery
रसोइयों||Cooks
त्रिगर्त||Triangle
हेतु||for
आज्ञानुसार||accordingly
बैर||hate
गुप्तचरों||spy
सचेत||careful
राजसभा||council
दर्प||arrogant
सुदेष्णा||Sudeshna
पांचाल-राजा||Panchal-Raja
वल्लभ||Vallabh
छापा||stamped
रथारूढ़||Ratharud
अनुमोदन||okay
बहलाया||made happy
दासियाँ||slaves
शस्त्रस्त्र||weapon
गायों||cows
कंक||Kaṅka
देखभाल||take-care
अश्वपाल||stable-boy
बृहन्नला||Bulgala
उत्तरा||Uttara
तंतिपाल||Tantipal
सिह||Singh
दरबारी||gentleman
विराटराज||Viratraj
पतियों||husbands
टंकार-ध्वनि||Tune-up
रसोइये||cooks
तितर-बितर||helter-skelter
भेष||Disguise
रास||reins
वृद्धि||rise
त्रिगर्तराज||Thirtatraj
विराटनगर||Virat Nagar
झल्लाकर||shout
वाद-विवाद||discuss
विभाग||division
बैर-विरोध||fight
पारस्परिक||reciprocal
ताने||irritate
हाँक||turn
चुटकी||pinch
डींगें||boast
खिसक||move
कोरी||blank
रट||memorize
आदत-सी||habit
चंदन||sandal
व्यूह-रचना||parade
कौरव-वीरों||Kaurav-braves
